Ciudad;Pais;Station_ID
Tokyo;Japan;445608
Shanghai (ZI-KA-WEI);China;433948
Bombay COLABA;India;441914
Karachi MANORA;Pakistan;452256
New Delhi PALAM;India;198313
Manila (SCIENCE GARDEN);Philippines;453603
Moscow MONINO;Russia;21194
Seoul (CITY OR I. AP);South Korea;447672
Istanbul;Turkey;466451
Lagos;Nigeria;392238
Mexico AEROP. INTERNACIONAL;Mexico;449450
New York AVE V BROOKLYN;United States;514192
Cairo ABBASSIA;Egypt;573783
BEIJING (Pekín);China;434852
London LOCKS;United Kingdom;500623
Bogotá;Colombia;435745
Lahore (CITY);Pakistan;452550
Baghdad INT. AIRPORT;Iraq;443414
Bangkok METROPOLIS;Thailand;464838
Bangalore;India;137216
Calcutta (ALIPORE);India;442043
Toronto SANCTBURY;Canada;6468
Rangoon;Burma;424584
Wuhan;China;433843
Saint Petersburg (VOEJKOVO);Russia;458527
Chongqing;China;433688
Chengdu;China;433818
Los Angeles INTERNATIONAL AIR;United States;144077
Alexandria;Egypt;154678
Melbourne INTL;Australia;132220
Abidjan VILLE;Côte d'Ivoire;12780
Kano;Nigeria;451376
Casablanca;Morocco;450350
Hyderabad INTL AIRPORT;India;15122
Ibadan;Nigeria;18717
Singapore TENGAH;Singapore;158900
Ankara CENTRAL;Turkey;466215
Riyadh  OBS. (O.A.P.);Saudi Arabia;22318
Berlin ALEXANDERPLZ;Germany;14477
Montreal MIRABEL;Canada;133866
Harbin;China;173770
Guangzhou;China;432981
Madrid C. UNIVERSIT;Spain;461964
Kabul AIRPORT;Afghanistan;188515
Surat;India;343433
Chicago BOTANICAL GARDEN;United States;522865
Nairobi WILSON;Kenya;156342
Jaipur SANGANER;India;155606
Salvador ONDINA;Brazil;423658
Dakar OUAKAM;Senegal;576824
Rome;Italy;137737
Mogadishu;Somalia;141305
Changchun CHINA PEOPLES REP;China;435296
Taipei FORMOSA CHINA DEM REP;Taiwan;464298
Kiev;Ukraine;467370
Faisalabad LAYALLPUR;Pakistan;452534
Izmir GUZELYALI;Turkey;371203
Fortaleza;Brazil;424146
Cali ALFONSO BONILLA ARAGON;Colombia;435698
Surabaya JUANDA;Indonesia;198411
Belo Horizonte (CONFINS) *;Brazil;191870
Mashhad INTL;Iran;443241
Nagpur SONEGAON;India;441998
Harare INTL;Zimbabwe;148050
Brasília (AEROPORTO);Brazil;423573
Santo Domingo;Dominican Republic;436787
Nagoya;Japan;445430
Aleppo INT. AEROPORT;Syria;464211
Paris MONTSOURIS;France;347104
Jinan TSINAN/CHINAN;China;434497
Tangshan;China;434839
Dalian;China;434741